login_streak,posts_created,comments_written,upvotes_received,quizzes_completed,buddies_messaged,karma_spent,karma_earned,spam,surprise_unlocked,reward_karma,reason,rarity,box_type,status
1,7,10,14,2,10,20,30,False,True,10,no_reason,common,social,delivered
5,9,4,6,3,9,21,26,False,True,5,no_reason,common,social,delivered
0,7,7,12,2,9,20,30,False,True,10,no_reason,common,social,delivered
9,5,10,15,4,2,37,71,False,True,34,login_streak+quizzes_completed,legendary,streak,delivered
1,6,12,5,2,7,22,28,False,True,6,no_reason,common,social,delivered
5,4,4,10,4,3,20,30,False,True,10,login_streak+quizzes_completed,common,streak,delivered
9,5,18,9,3,8,5,30,False,True,25,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
3,4,5,27,3,5,22,27,False,True,5,upvotes_received,legendary,engagement,delivered
5,6,3,1,3,3,2,59,False,True,57,posts_created+karma_earned,rare,mystery,delivered
1,2,2,2,1,3,7,25,False,True,18,posts_created+login_streak,common,comeback,delivered
0,2,3,5,2,6,18,29,False,True,11,posts_created+karma_earned,common,mystery,delivered
4,4,15,14,1,11,15,71,False,True,56,upvotes_received,common,engagement,delivered
5,6,7,16,10,9,23,65,False,True,42,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
0,4,9,8,1,4,38,65,False,True,27,posts_created+karma_earned,rare,mystery,delivered
9,10,6,12,3,6,19,30,False,True,11,login_streak+quizzes_completed,rare,streak,delivered
5,9,9,9,3,4,20,28,False,True,8,no_reason,common,social,delivered
9,5,7,10,8,12,8,68,False,True,60,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
7,14,10,20,6,6,9,67,False,True,58,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
3,8,12,14,9,4,58,64,False,True,6,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,1,4,1,0,1,5,5,False,False,0,low_karma_diff,,,missed
4,6,8,4,1,2,43,61,False,True,18,login_streak+quizzes_completed,common,streak,delivered
3,13,20,13,5,5,42,50,False,True,8,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,3,5,2,1,4,62,74,False,True,12,posts_created+login_streak,common,comeback,delivered
0,3,0,6,3,6,14,33,False,True,19,posts_created+karma_earned,common,mystery,delivered
5,6,7,29,1,14,6,42,False,True,36,upvotes_received,legendary,engagement,delivered
1,7,8,14,2,10,22,28,False,True,6,no_reason,common,social,delivered
3,8,12,13,2,6,20,25,False,True,5,no_reason,common,social,delivered
1,2,1,0,2,0,19,25,False,True,6,posts_created+login_streak,common,comeback,delivered
4,0,4,4,2,0,2,42,True,False,0,spam,,,missed
8,3,5,5,1,8,5,17,False,True,12,login_streak+quizzes_completed,rare,streak,delivered
1,8,2,4,1,0,36,46,False,True,10,posts_created+login_streak,common,comeback,delivered
3,2,3,4,1,2,9,24,False,True,15,posts_created+karma_earned,common,mystery,delivered
0,2,4,3,0,2,8,10,False,False,2,low_karma_diff,,,missed
2,4,7,5,3,6,21,28,False,True,7,no_reason,common,social,delivered
1,0,1,5,0,0,6,10,False,False,4,low_karma_diff,,,missed
2,2,19,19,3,5,25,35,False,True,10,upvotes_received,rare,engagement,delivered
4,4,2,10,5,3,7,17,False,True,10,login_streak+quizzes_completed,common,streak,delivered
1,0,2,5,0,2,5,6,False,False,1,low_karma_diff,,,missed
0,1,10,9,0,3,41,75,False,True,34,posts_created+karma_earned,rare,mystery,delivered
0,2,1,1,0,5,7,36,False,True,29,posts_created+karma_earned,rare,mystery,delivered
4,10,11,7,2,7,25,30,False,True,5,karma_spent,common,social,delivered
4,3,7,5,3,5,20,25,False,True,5,no_reason,common,social,delivered
10,9,1,3,3,0,7,44,False,True,37,login_streak+quizzes_completed,legendary,streak,delivered
2,1,0,4,0,0,6,8,False,False,2,low_karma_diff,,,missed
4,8,1,4,0,0,52,70,False,True,18,posts_created+karma_earned,common,mystery,delivered
3,6,6,13,2,4,20,25,False,True,5,no_reason,common,social,delivered
4,6,2,5,5,0,17,53,False,True,36,login_streak+quizzes_completed,common,streak,delivered
1,6,4,4,2,2,38,49,False,True,11,posts_created+login_streak,common,comeback,delivered
5,5,9,11,2,4,25,30,False,True,5,karma_spent,common,social,delivered
7,3,4,10,2,2,17,52,False,True,35,login_streak+quizzes_completed,rare,streak,delivered
2,0,1,4,0,0,8,9,False,False,1,low_karma_diff,,,missed
0,10,12,5,2,7,20,26,False,True,6,no_reason,common,social,delivered
3,6,5,27,3,13,29,66,False,True,37,upvotes_received,legendary,engagement,delivered
1,4,2,1,2,3,0,24,False,True,24,posts_created+login_streak,rare,comeback,delivered
3,1,7,1,1,5,9,42,False,True,33,posts_created+karma_earned,rare,mystery,delivered
2,8,5,0,2,7,47,69,False,True,22,posts_created+karma_earned,common,mystery,delivered
10,8,7,13,5,5,13,32,False,True,19,login_streak+quizzes_completed,rare,streak,delivered
3,0,7,7,5,5,25,33,False,True,8,login_streak+quizzes_completed,common,streak,delivered
7,1,0,7,2,4,32,40,False,True,8,login_streak+quizzes_completed,rare,streak,delivered
0,3,5,1,5,0,2,3,True,False,0,spam,,,missed
1,9,6,3,2,6,59,69,False,True,10,posts_created+karma_earned,common,mystery,delivered
2,2,10,4,2,6,19,53,False,True,34,posts_created+karma_earned,rare,mystery,delivered
4,6,9,0,1,2,29,36,False,True,7,posts_created+karma_earned,common,mystery,delivered
4,5,10,13,4,5,25,43,False,True,18,login_streak+quizzes_completed,common,streak,delivered
1,0,2,3,0,0,3,5,False,False,2,low_karma_diff,,,missed
5,8,3,5,1,7,27,59,False,True,32,login_streak+quizzes_completed,common,streak,delivered
1,3,2,1,1,0,66,78,False,True,12,posts_created+login_streak,common,comeback,delivered
4,3,13,15,2,14,39,49,False,True,10,upvotes_received,rare,engagement,delivered
1,0,3,4,4,5,1,21,True,False,0,spam,,,missed
9,3,4,11,3,4,2,24,False,True,22,login_streak+quizzes_completed,legendary,streak,delivered
1,4,4,5,1,4,1,57,True,False,0,spam,,,missed
1,7,4,3,1,2,9,19,False,True,10,posts_created+login_streak,common,comeback,delivered
9,15,6,13,10,4,4,74,False,True,70,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
5,9,20,13,5,11,32,72,False,True,40,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
7,9,4,11,10,14,3,75,False,True,72,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
3,2,3,11,3,6,1,44,False,True,43,login_streak+quizzes_completed,common,streak,delivered
1,7,1,1,2,0,19,26,False,True,7,posts_created+login_streak,common,comeback,delivered
1,6,5,19,1,8,43,66,False,True,23,upvotes_received,rare,engagement,delivered
2,2,14,21,1,8,57,66,False,True,9,upvotes_received,legendary,engagement,delivered
5,9,1,10,3,4,20,68,False,True,48,posts_created+karma_earned,rare,mystery,delivered
3,7,14,15,3,10,23,30,False,True,7,no_reason,common,social,delivered
5,4,13,10,3,7,21,27,False,True,6,no_reason,common,social,delivered
0,2,14,12,1,6,1,60,False,True,59,upvotes_received,common,engagement,delivered
1,7,1,3,1,4,1,27,False,True,26,posts_created+login_streak,rare,comeback,delivered
5,6,11,10,3,9,22,28,False,True,6,no_reason,common,social,delivered
10,3,7,1,3,6,3,50,False,True,47,login_streak+quizzes_completed,legendary,streak,delivered
4,5,5,12,9,14,37,72,False,True,35,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
8,15,13,19,10,6,5,29,False,True,24,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
4,3,7,14,4,7,41,65,False,True,24,login_streak+quizzes_completed,common,streak,delivered
0,1,2,1,0,2,5,7,False,False,2,low_karma_diff,,,missed
4,2,7,27,2,3,14,49,False,True,35,upvotes_received,legendary,engagement,delivered
1,7,5,1,2,3,3,26,False,True,23,posts_created+login_streak,rare,comeback,delivered
2,3,7,8,3,4,22,27,False,True,5,no_reason,common,social,delivered
1,10,9,8,3,4,25,30,False,True,5,karma_spent,common,social,delivered
5,7,3,10,0,3,0,48,False,True,48,posts_created+karma_earned,rare,mystery,delivered
4,6,13,15,3,9,20,25,False,True,5,no_reason,common,social,delivered
1,9,4,3,2,3,10,26,False,True,16,posts_created+login_streak,common,comeback,delivered
1,7,3,5,2,0,30,41,False,True,11,posts_created+login_streak,common,comeback,delivered
6,1,10,3,5,4,26,41,False,True,15,login_streak+quizzes_completed,rare,streak,delivered
0,5,10,14,2,4,16,77,False,True,61,upvotes_received,common,engagement,delivered
3,2,7,0,2,7,12,79,False,True,67,posts_created+karma_earned,rare,mystery,delivered
1,10,12,6,3,6,20,25,False,True,5,no_reason,common,social,delivered
6,2,8,3,4,2,16,31,False,True,15,login_streak+quizzes_completed,rare,streak,delivered
1,4,4,3,1,5,9,80,False,True,71,posts_created+login_streak,rare,comeback,delivered
8,9,8,7,4,6,31,50,False,True,19,login_streak+quizzes_completed,rare,streak,delivered
5,0,19,12,0,5,17,36,False,True,19,upvotes_received,common,engagement,delivered
6,4,0,1,3,8,1,53,False,True,52,login_streak+quizzes_completed,rare,streak,delivered
5,7,8,11,2,8,20,25,False,True,5,no_reason,common,social,delivered
1,2,1,3,0,1,8,8,False,False,0,low_karma_diff,,,missed
1,5,15,24,0,3,9,40,False,True,31,upvotes_received,legendary,engagement,delivered
0,7,12,7,3,6,20,25,False,True,5,no_reason,common,social,delivered
5,6,14,7,3,4,20,25,False,True,5,no_reason,common,social,delivered
0,7,10,5,3,6,20,25,False,True,5,no_reason,common,social,delivered
0,2,0,10,1,6,16,48,False,True,32,posts_created+karma_earned,rare,mystery,delivered
1,1,0,3,0,2,8,9,False,False,1,low_karma_diff,,,missed
1,2,0,2,0,0,5,8,False,False,3,low_karma_diff,,,missed
4,6,11,15,1,7,11,57,False,True,46,upvotes_received,rare,engagement,delivered
0,0,2,3,0,1,6,6,False,False,0,low_karma_diff,,,missed
4,8,7,11,7,14,44,77,False,True,33,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
5,1,8,26,2,4,14,47,False,True,33,upvotes_received,legendary,engagement,delivered
1,6,13,27,1,11,53,64,False,True,11,upvotes_received,legendary,engagement,delivered
0,8,15,11,3,8,25,30,False,True,5,karma_spent,common,social,delivered
0,7,15,7,2,6,20,26,False,True,6,no_reason,common,social,delivered
4,0,17,10,3,13,7,48,False,True,41,upvotes_received,common,engagement,delivered
4,5,7,18,5,9,32,75,False,True,43,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,2,1,5,0,1,3,14,True,False,0,spam,,,missed
3,14,10,12,10,5,6,26,False,True,20,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,10,1,0,1,5,19,25,False,True,6,posts_created+login_streak,common,comeback,delivered
0,2,4,1,4,5,21,41,True,False,0,spam,,,missed
4,5,5,8,1,4,48,59,False,True,11,posts_created+karma_earned,common,mystery,delivered
8,9,4,10,10,13,45,56,False,True,11,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
0,1,4,4,0,2,7,10,False,False,3,low_karma_diff,,,missed
9,5,10,6,4,7,10,36,False,True,26,login_streak+quizzes_completed,legendary,streak,delivered
1,6,0,10,1,3,2,15,False,True,13,posts_created+karma_earned,common,mystery,delivered
5,6,9,10,2,7,21,26,False,True,5,no_reason,common,social,delivered
1,3,4,1,1,2,3,12,False,True,9,posts_created+login_streak,common,comeback,delivered
3,5,7,8,2,8,20,25,False,True,5,no_reason,common,social,delivered
1,9,5,2,2,1,38,48,False,True,10,posts_created+login_streak,common,comeback,delivered
1,3,5,2,2,0,13,38,False,True,25,posts_created+login_streak,rare,comeback,delivered
1,9,5,14,3,9,20,25,False,True,5,no_reason,common,social,delivered
1,2,1,0,0,1,9,10,False,False,1,low_karma_diff,,,missed
0,10,15,13,3,7,22,28,False,True,6,no_reason,common,social,delivered
5,8,17,12,3,6,42,64,False,True,22,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
6,9,5,4,3,4,22,40,False,True,18,login_streak+quizzes_completed,rare,streak,delivered
7,8,15,22,10,15,2,51,False,True,49,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
5,9,9,10,3,4,10,34,False,True,24,login_streak+quizzes_completed,common,streak,delivered
3,1,14,28,2,14,38,78,False,True,40,upvotes_received,legendary,engagement,delivered
1,7,1,4,1,2,8,20,False,True,12,posts_created+login_streak,common,comeback,delivered
10,8,4,8,3,3,14,39,False,True,25,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,2,3,3,2,3,5,49,False,True,44,posts_created+login_streak,rare,comeback,delivered
2,5,6,26,1,5,32,74,False,True,42,upvotes_received,legendary,engagement,delivered
5,0,8,12,2,7,22,39,False,True,17,upvotes_received,common,engagement,delivered
8,15,8,25,4,6,21,29,False,True,8,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
7,4,10,15,4,7,32,47,False,True,15,login_streak+quizzes_completed,rare,streak,delivered
4,5,12,17,0,9,40,77,False,True,37,upvotes_received,rare,engagement,delivered
0,0,1,5,0,1,4,6,False,False,2,low_karma_diff,,,missed
2,2,1,4,0,0,3,6,False,False,3,low_karma_diff,,,missed
1,10,2,1,1,2,2,19,False,True,17,posts_created+login_streak,common,comeback,delivered
2,0,3,0,0,2,5,8,False,False,3,low_karma_diff,,,missed
3,14,19,8,2,4,26,70,False,True,44,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
2,6,8,11,3,6,21,27,False,True,6,no_reason,common,social,delivered
9,8,5,9,10,15,1,67,False,True,66,posts_created+login_streak+quizzes_completed+upvotes_received,rare,allrounder,delivered
1,5,2,0,2,0,2,17,False,True,15,posts_created+login_streak,common,comeback,delivered
3,2,9,28,1,4,53,66,False,True,13,upvotes_received,legendary,engagement,delivered
8,2,9,8,1,9,8,19,False,True,11,login_streak+quizzes_completed,rare,streak,delivered
7,5,7,5,3,3,21,27,False,True,6,login_streak+quizzes_completed,rare,streak,delivered
9,10,10,17,8,13,52,76,False,True,24,posts_created+login_streak+quizzes_completed+upvotes_received,legendary,allrounder,delivered
